Designator,Footprint,Quantity,Value,LCSC Part #
A1,CONN-TH_XH-3AW-C722865,1,AKKU 1,C722865
A2,CONN-TH_XH-3AW-C722865,1,AKKU 2,C722865
C-Big1,HDR-TH_2P-P2.54-H-M-W10.4,1,Pinhead_1x02H,C492410
C3,C0603,1,SMD-1uF,C1592
C4,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,SMD-220uF,C125977
C5,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,SMD-220uF_50V,C125977
C6,C0603,1,SMD-100nF,C30926
C7,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,RVT1A221M0605-C72494,C125977
C8,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,SMD-680uF,C335987
CN2,CONN-TH_XT30UPB-F,1,XT30UPB-F,C108769
D36V28FX1,D36V28FX,1,5V,
"ESCON-V1, ESCON-V2, ESCON-V3, ESCON-V4, ESCON-V5",ESCON-V,5,~,
"I2C1, I2C2",HDR-TH_6P-P2.54-V-F-R2-C3-S2.54-4,2,Pfostenstecker_6_2x3,C5372863
"J2, J4",PinSocket_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
J3,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
Kicker1,KICKER,1,~,
"LB-L1, LB-S1",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02_Socket,
LED1,LED-SMD_6P-L5.0-W5.0-TL_TC5050RGBF08,1,led1,C784540
Prog.1,IDC-TH_8P-P2.54-V-R2-C4-S2.54,1,Pfostenstecker_8_2x4,C5372864
"R1, R11, R12, R13, R2, R3, R4, R6, R7",R0603,9,SMD-10k,C25804
"R10, R8, R9",R0603,3,SMD-220R,C217883
R5,R0603,1,SMD-100R,C22775
Taster_LED1,TASTER_LED,1,~,
U2,WIFIM-SMD_ESP32-WROOM-32-N4,1,ESP32-WROOM-32,C82899
U3,CONN-TH_XT30PW-M,1,XT30_horizontal,C431092
"U8, U9",SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,2,LM1117IMPX-3_3_NOPB,C23984
