Designator,Mid X,Mid Y,Rotation,Layer
A1,-77.5,11.0,270.0,top
A2,97.500001,11.0,90.0,top
C-Big1,-74.0,-16.0,90.0,top
C3,-5.002705,-8.007742,90.0,top
C4,11.0,-61.0,270.0,top
C5,11.0,-46.0,0.0,top
C6,-32.002705,-8.007742,90.0,top
C7,40.5,-19.0,270.0,top
C8,31.0,20.0,0.0,top
CN2,-26.999683,-5.1,270.0,top
D36V28FX1,37.6675,3.3725,180.0,top
ESCON-V1,66.0127,6.0,270.0,top
ESCON-V2,66.9873,-18.0,90.0,top
ESCON-V3,-45.9873,-24.0,270.0,top
ESCON-V4,-46.0127,10.0,90.0,top
ESCON-V5,-5.5,-55.5127,180.0,top
I2C1,27.230124,-46.460122,270.0,top
I2C2,27.230124,-65.040132,270.0,top
J2,-14.475,-26.29,90.0,top
J3,-2.5,-35.5,90.0,top
J4,82.31,-3.125,0.0,top
Kicker1,-12.88225,7.60125,0.0,top
LB-L1,86.0,6.0,0.0,top
LB-S1,-22.0,-26.5,180.0,top
LED1,-8.004,-77.499873,0.0,top
Prog.1,-5.325248,-95.782703,180.0,top
R1,-11.0,-8.0,270.0,top
R10,-0.954152,-79.499873,0.0,top
R11,-21.5,-18.5,180.0,top
R12,-21.5,-16.5,180.0,top
R13,-21.5,-20.54,180.0,top
R2,25.746634,-14.0,180.0,top
R3,25.746634,-10.5,180.0,top
R4,-25.5,-24.5,270.0,top
R5,86.0,1.246634,270.0,top
R6,-2.0,-9.746634,90.0,top
R7,23.746635,-26.0,0.0,top
R8,-0.954152,-75.552653,0.0,top
R9,-0.954152,-77.499873,0.0,top
Taster_LED1,19.5,-93.675,0.0,top
U2,10.5,-13.5,0.0,top
U3,-42.45381,-7.099873,270.0,top
U8,96.680683,-8.0,0.0,top
U9,96.680684,-0.045163,0.0,top
